Participant_ID,Dates,Calories
p01,2020-04-01,543.0761937403983
p01,2020-04-02,823.4416305020304
p01,2020-04-03,394.82110809742227
p01,2020-04-04,460.64061794661535
p01,2020-04-05,203.69840047185534
p01,2020-04-06,193.07198097072208
p01,2020-04-07,392.4382314592039
p01,2020-04-08,535.4947905188449
p01,2020-04-09,815.8602272804135
p01,2020-04-10,387.23970487591157
p01,2020-04-11,453.0592147253744
p01,2020-04-12,196.1169972511864
p01,2020-04-13,185.49057774984354
p01,2020-04-14,384.8568282380063
p01,2020-04-15,527.9133872972916
p01,2020-04-16,808.2788240592157
p01,2020-04-17,379.658301654027
p01,2020-04-18,445.47781150302353
p01,2020-04-19,188.5355940288914
p01,2020-04-20,177.90917452805508
p01,2020-04-21,377.275425015683
p01,2020-04-22,520.331984076318
p01,2020-04-23,800.6974208375991
p01,2020-04-24,372.07689843214246
p01,2020-04-25,437.8964082817825
p01,2020-04-26,180.95419080740947
p01,2020-04-27,170.32777130621776
p01,2020-04-28,369.69402179365864
p01,2020-04-29,512.7505808541848
p01,2020-04-30,793.1160176157643
p01,2020-05-01,364.49549521145764
p01,2020-05-02,430.31500506042363
p01,2020-05-03,173.37278758592757
p01,2020-05-04,162.74636808442918
p01,2020-05-05,362.1126185732877
p01,2020-05-06,505.16917763321135
p01,2020-05-07,785.5346143941479
p01,2020-05-08,356.91409198957297
p01,2020-05-09,422.73360183918265
p01,2020-05-10,165.79138436444555
p01,2020-05-11,155.16496486355067
p01,2020-05-12,354.53121535126337
p01,2020-05-13,497.58777441072795
p01,2020-05-14,777.9532111725312
p01,2020-05-15,349.3326887678754
p01,2020-05-16,415.1521986168318
p01,2020-05-17,158.20998114215067
p01,2020-05-18,147.5835616408034
p01,2020-05-19,346.949812129239
p01,2020-05-20,490.00637118917456
p01,2020-05-21,770.3718079509147
p01,2020-05-22,341.7512855461778
p01,2020-05-23,407.5707953955909
p01,2020-05-24,150.62857792109156
p01,2020-05-25,140.00215841992488
p01,2020-05-26,339.36840890804126
p01,2020-05-27,482.4249679676212
p01,2020-05-28,762.7904047294987
p01,2020-05-29,334.16988232530605
p01,2020-05-30,399.98939217434986
p01,2020-05-31,143.04717469960963
p01,2020-06-01,132.42075519813625
p01,2020-06-02,331.7870056868436
p01,2020-06-03,474.84356474664764
p01,2020-06-04,755.2090015080998
p01,2020-06-05,326.5884791034214
p01,2020-06-06,392.407988951999
p01,2020-06-07,135.46577147812772
p01,2020-06-08,124.83935197634779
p01,2020-06-09,324.2056024645204
p01,2020-06-10,467.2621615245146
p01,2020-06-11,747.6275982862654
p01,2020-06-12,319.00707588172384
p01,2020-06-13,384.8265857307581
p01,2020-06-14,127.88436825625561
p01,2020-06-15,117.25794875455927
p01,2020-06-16,316.624199242496
p01,2020-06-17,459.680758303541
p01,2020-06-18,740.0461950646486
p01,2020-06-19,311.42567266002624
p01,2020-06-20,377.2451825093991
p01,2020-06-21,120.30296503558662
p01,2020-06-22,109.6765455336807
p01,2020-06-23,309.04279602212506
p01,2020-06-24,452.0993550825674
p01,2020-06-25,732.4647918434508
p01,2020-06-26,303.8442694383285
p01,2020-06-27,369.66377928760323
p01,2020-06-28,112.72156181329174
p01,2020-06-29,102.09514231189212
p01,2020-06-30,301.4613928001006
p01,2020-07-01,444.51795186008405
p01,2020-07-02,724.8833886218342
p01,2020-07-03,296.2628662164439
p01,2020-07-04,362.0823760658074
p01,2020-07-05,105.1401585909968
p01,2020-07-06,94.51373909005486
p01,2020-07-07,293.87998957890306
p01,2020-07-08,436.93654863853067
p01,2020-07-09,717.3019853999995
p01,2020-07-10,288.68146299493327
p01,2020-07-11,354.5009728445664
p01,2020-07-12,97.55875537032782
p01,2020-07-13,86.93233586826634
p01,2020-07-14,286.2985863577054
p01,2020-07-15,429.35514541697734
p01,2020-07-16,709.7205821781649
p01,2020-07-17,281.10005977387453
p01,2020-07-18,346.9195696232074
p01,2020-07-19,89.9773521480329
p01,2020-07-20,79.35093264738788
p01,2020-07-21,278.71718313650774
p01,2020-07-22,421.77374219507374
p01,2020-07-23,702.1391789567663
p01,2020-07-24,273.51865655217694
p01,2020-07-25,339.3381664014115
p01,2020-07-26,82.39594892655097
p01,2020-07-27,71.76952942468924
p01,2020-07-28,271.1357799133577
p01,2020-07-29,414.19233897294055
