Participant_ID,Dates,Calories
p01,2019-11-01,494
p01,2019-11-02,354
p01,2019-11-04,145
p01,2019-11-05,517
p01,2019-11-08,252
p01,2019-11-09,454
p01,2019-11-10,470
p01,2019-11-11,339
p01,2019-11-12,104
p01,2019-11-14,1120
p01,2019-11-15,820
p01,2019-11-16,480
p01,2019-11-17,338
p01,2019-11-18,639
p01,2019-11-19,139
p01,2019-11-21,1281
p01,2019-11-22,407
p01,2019-11-23,1325
p01,2019-11-24,815
p01,2019-11-25,200
p01,2019-11-26,846
p01,2019-11-27,303
p01,2019-11-28,853
p01,2019-11-29,312
p01,2019-11-30,402
p01,2019-12-01,172
p01,2019-12-02,337
p01,2019-12-03,794
p01,2019-12-05,888
p01,2019-12-06,172
p01,2019-12-07,268
p01,2019-12-08,518
p01,2019-12-13,543
p01,2019-12-14,243
p01,2019-12-15,1079
p01,2019-12-16,157
p01,2019-12-17,367
p01,2019-12-18,456
p01,2019-12-19,780
p01,2019-12-20,495
p01,2019-12-21,1188
p01,2019-12-22,494
p01,2019-12-23,980
p01,2019-12-25,155
p01,2019-12-26,689
p01,2019-12-27,265
p01,2019-12-28,195
p01,2019-12-29,151
p01,2019-12-31,198
p01,2020-01-02,222
p01,2020-01-03,1025
p01,2020-01-04,986
p01,2020-01-05,298
p01,2020-01-06,252
p01,2020-01-07,1022
p01,2020-01-08,264
p01,2020-01-09,852
p01,2020-01-10,687
p01,2020-01-11,474
p01,2020-01-12,248
p01,2020-01-13,197
p01,2020-01-14,740
p01,2020-01-15,707
p01,2020-01-16,434
p01,2020-01-17,355
p01,2020-01-18,752
p01,2020-01-19,555
p01,2020-01-20,141
p01,2020-01-21,268
p01,2020-01-22,131
p01,2020-01-23,782
p01,2020-01-25,1053
p01,2020-01-26,748
p01,2020-01-28,830
p01,2020-01-30,1157
p01,2020-01-31,316
p01,2020-02-01,123
p01,2020-02-02,254
p01,2020-02-03,195
p01,2020-02-05,1003
p01,2020-02-06,1811
p01,2020-02-08,156
p01,2020-02-09,189
p01,2020-02-10,567
p01,2020-02-12,410
p01,2020-02-13,456
p01,2020-02-14,151
p01,2020-02-16,140
p01,2020-02-18,428
p01,2020-02-19,505
p01,2020-02-21,557
p01,2020-02-22,165
p01,2020-02-26,486
p01,2020-02-27,1387
p01,2020-02-29,194
p01,2020-03-01,180
p01,2020-03-02,193
p01,2020-03-03,107
p01,2020-03-05,1445
p01,2020-03-06,249
p01,2020-03-07,545
p01,2020-03-08,211
p01,2020-03-09,102
p01,2020-03-10,735
p01,2020-03-12,232
p01,2020-03-14,568
p01,2020-03-15,581
p01,2020-03-16,128
p01,2020-03-17,385
p01,2020-03-19,268
p01,2020-03-21,971
p01,2020-03-25,517
p01,2020-03-26,395
p01,2020-03-27,759
p01,2020-03-28,846
p01,2020-03-29,151
p01,2020-03-31,459
p02,2019-11-06,649
p02,2019-11-07,641
p02,2019-11-08,992
p02,2019-11-09,1325
p02,2019-11-10,1096
p02,2019-11-11,1556
p02,2019-11-12,1749
p02,2019-11-13,1203
p02,2019-11-14,538
p02,2019-11-15,1068
p02,2019-11-16,1062
p02,2019-11-18,2085
p02,2019-11-20,1404
p02,2019-11-21,888
p02,2019-11-22,1875
p02,2019-11-23,483
p02,2019-11-25,1970
p02,2019-11-26,1433
p02,2019-11-27,970
p02,2019-11-29,901
p02,2019-11-30,116
p02,2019-12-01,1540
p02,2019-12-02,1684
p02,2019-12-03,986
p02,2019-12-04,429
p02,2019-12-05,1521
p02,2019-12-06,981
p02,2019-12-07,1414
p02,2019-12-08,1644
p02,2019-12-09,646
p02,2019-12-11,774
p02,2019-12-12,1763
p02,2019-12-13,1196
p02,2019-12-14,667
p02,2019-12-15,1722
p02,2019-12-16,1347
p02,2019-12-17,919
p02,2019-12-18,1881
p02,2019-12-19,602
p02,2019-12-20,2831
p02,2019-12-21,78
p02,2019-12-22,500
p02,2019-12-24,652
p02,2019-12-25,996
p02,2019-12-26,1280
p02,2019-12-27,626
p02,2019-12-28,1049
p02,2019-12-29,509
p02,2019-12-30,1364
p02,2020-01-02,447
p02,2020-01-03,635
p02,2020-01-04,1390
p02,2020-01-05,467
p02,2020-01-06,2784
p02,2020-01-07,1236
p02,2020-01-08,1989
p02,2020-01-09,565
p02,2020-01-10,1845
p02,2020-01-12,1612
p02,2020-01-13,1124
p02,2020-01-14,1711
p02,2020-01-15,2319
p02,2020-01-16,1001
p02,2020-01-17,1760
p02,2020-01-18,1097
p02,2020-01-19,586
p02,2020-01-20,966
p02,2020-01-21,2058
p02,2020-01-22,1438
p02,2020-01-23,914
p02,2020-01-24,1493
p02,2020-01-25,155
p02,2020-01-26,125
p02,2020-01-27,2681
p02,2020-01-28,1082
p02,2020-01-29,1206
p02,2020-01-30,1469
p02,2020-01-31,972
p02,2020-02-01,353
p02,2020-02-02,366
p02,2020-02-03,551
p02,2020-02-04,523
p02,2020-02-05,831
p02,2020-02-06,776
p02,2020-02-07,1131
p02,2020-02-08,924
p02,2020-02-09,87
p02,2020-02-10,556
p02,2020-02-11,1505
p02,2020-02-12,1779
p02,2020-02-13,1458
p02,2020-02-14,239
p02,2020-02-15,568
p02,2020-02-16,2113
p02,2020-02-17,1315
p02,2020-02-18,1095
p02,2020-02-19,2165
p02,2020-02-20,2150
p02,2020-02-21,1384
p02,2020-02-22,160
p02,2020-02-23,1178
p02,2020-02-24,603
p02,2020-02-26,1680
p02,2020-02-27,2441
p02,2020-02-29,2007
p02,2020-03-01,494
p02,2020-03-02,1641
p02,2020-03-03,2086
p02,2020-03-04,1015
p02,2020-03-05,957
p02,2020-03-06,866
p02,2020-03-07,665
p02,2020-03-08,386
p02,2020-03-09,1652
p02,2020-03-10,376
p02,2020-03-11,1257
p02,2020-03-12,571
p02,2020-03-13,821
p02,2020-03-14,1333
p02,2020-03-15,1048
p02,2020-03-16,818
p02,2020-03-17,1603
p02,2020-03-18,1063
p02,2020-03-19,2481
p02,2020-03-20,956
p02,2020-03-21,491
p02,2020-03-22,1239
p02,2020-03-23,1671
p02,2020-03-24,567
p02,2020-03-25,707
p02,2020-03-26,880
p02,2020-03-27,935
p02,2020-03-28,424
p02,2020-03-29,1123
p02,2020-03-30,1278
p02,2020-03-31,861
p03,2019-11-01,311
p03,2019-11-05,235
p03,2019-11-06,144
p03,2019-11-11,306
p03,2019-11-14,264
p03,2019-12-21,111
p03,2019-12-23,219
p03,2019-12-24,164
p03,2019-12-30,524
p03,2020-01-04,367
p03,2020-01-06,313
p03,2020-01-07,193
p03,2020-01-08,232
p03,2020-01-10,284
p03,2020-01-12,319
p03,2020-01-13,459
p03,2020-01-14,252
p03,2020-01-15,234
p03,2020-01-16,222
p03,2020-01-17,250
p03,2020-01-20,573
p03,2020-01-22,444
p03,2020-01-23,226
p03,2020-01-24,283
p03,2020-01-25,138
p03,2020-01-27,127
p03,2020-01-29,351
p03,2020-01-30,412
p03,2020-01-31,655
p03,2020-02-03,325
p03,2020-02-04,242
p03,2020-02-05,514
p03,2020-02-06,795
p03,2020-02-07,523
p03,2020-02-10,242
p03,2020-02-11,218
p03,2020-02-12,333
p03,2020-02-13,269
p03,2020-02-18,202
p03,2020-02-19,197
p03,2020-02-20,254
p03,2020-02-21,296
p03,2020-02-26,259
p03,2020-02-27,280
p03,2020-03-04,226
p03,2020-03-06,188
p03,2020-03-09,217
p04,2019-11-05,370
p04,2019-11-06,248
p04,2019-11-07,215
p04,2019-11-08,336
p04,2019-11-11,321
p04,2019-11-12,410
p04,2019-11-13,324
p04,2019-11-14,104
p04,2019-11-15,268
p04,2019-11-17,546
p04,2019-11-18,275
p04,2019-11-19,232
p04,2019-11-20,206
p04,2019-11-21,106
p04,2019-11-22,107
p04,2019-11-23,176
p04,2019-11-24,595
p04,2019-11-25,359
p04,2019-11-26,438
p04,2019-11-28,314
p04,2019-11-29,67
p04,2019-11-30,256
p04,2019-12-01,105
p04,2019-12-02,341
p04,2019-12-03,484
p04,2019-12-05,204
p04,2019-12-09,372
p04,2019-12-10,346
p04,2019-12-11,219
p04,2019-12-12,271
p04,2019-12-14,678
p04,2019-12-15,96
p04,2019-12-16,588
p04,2019-12-17,345
p04,2019-12-19,259
p04,2019-12-20,50
p04,2019-12-21,93
p04,2019-12-22,162
p04,2019-12-23,455
p04,2019-12-24,108
p04,2019-12-25,441
p04,2019-12-26,639
p04,2019-12-28,223
p04,2019-12-29,296
p04,2019-12-30,290
p04,2019-12-31,100
p04,2020-01-02,304
p04,2020-01-03,304
p04,2020-01-04,175
p04,2020-01-06,151
p04,2020-01-08,473
p04,2020-01-09,400
p04,2020-01-12,390
p04,2020-01-13,175
p04,2020-01-14,442
p04,2020-01-15,430
p04,2020-01-16,241
p04,2020-01-17,472
p04,2020-01-19,396
p04,2020-01-20,428
p04,2020-01-21,592
p04,2020-01-22,86
p04,2020-01-23,564
p04,2020-01-24,475
p04,2020-01-26,152
p04,2020-01-27,241
p04,2020-01-28,1150
p04,2020-01-30,42
p04,2020-01-31,239
p04,2020-02-01,696
p04,2020-02-02,158
p04,2020-02-03,781
p04,2020-02-04,453
p04,2020-02-05,416
p04,2020-02-07,202
p04,2020-02-09,162
p04,2020-02-10,151
p04,2020-02-11,445
p04,2020-02-12,313
p04,2020-02-15,173
p04,2020-02-16,165
p04,2020-02-17,241
p04,2020-02-18,108
p04,2020-02-20,260
p04,2020-02-21,159
p04,2020-02-22,91
p04,2020-02-24,300
p04,2020-02-26,340
p04,2020-02-27,391
p04,2020-02-29,405
p04,2020-03-01,377
p04,2020-03-03,216
p04,2020-03-04,245
p04,2020-03-05,182
p04,2020-03-06,90
p04,2020-03-07,81
p04,2020-03-08,163
p04,2020-03-09,424
p04,2020-03-10,453
p04,2020-03-11,215
p04,2020-03-13,363
p04,2020-03-14,659
p04,2020-03-16,165
p04,2020-03-17,251
p04,2020-03-18,263
p04,2020-03-19,111
p04,2020-03-20,308
p04,2020-03-22,206
p04,2020-03-23,551
p04,2020-03-24,236
p04,2020-03-25,374
p04,2020-03-26,440
p04,2020-03-27,185
p04,2020-03-28,693
p04,2020-03-29,235
p04,2020-03-30,173
p05,2019-11-01,131
p05,2019-11-02,221
p05,2019-11-05,170
p05,2019-11-07,827
p05,2019-11-09,88
p05,2019-11-13,298
p05,2019-11-14,577
p05,2019-11-15,430
p05,2019-11-17,267
p05,2019-11-20,622
p05,2019-11-22,158
p05,2019-11-24,124
p05,2019-11-27,452
p05,2019-11-29,192
p05,2019-11-30,390
p05,2019-12-01,693
p05,2019-12-04,462
p05,2019-12-05,433
p05,2019-12-06,378
p05,2019-12-08,257
p05,2019-12-09,155
p05,2019-12-11,753
p05,2019-12-12,628
p05,2019-12-13,342
p05,2019-12-14,145
p05,2019-12-16,305
p05,2019-12-17,362
p05,2019-12-19,600
p05,2019-12-20,339
p05,2019-12-21,391
p05,2019-12-22,233
p05,2019-12-24,131
p05,2019-12-30,140
p05,2019-12-31,706
p05,2020-01-01,163
p05,2020-01-02,797
p05,2020-01-03,652
p05,2020-01-04,246
p05,2020-01-05,411
p05,2020-01-06,1297
p05,2020-01-07,1305
p05,2020-01-08,492
p05,2020-01-09,721
p05,2020-01-10,664
p05,2020-01-12,254
p05,2020-01-13,410
p05,2020-01-14,361
p05,2020-01-15,411
p05,2020-01-16,259
p05,2020-01-19,499
p05,2020-01-20,631
p05,2020-01-22,474
p05,2020-01-23,159
p05,2020-01-24,681
p05,2020-01-25,570
p05,2020-01-26,594
p05,2020-01-27,157
p05,2020-01-28,172
p05,2020-01-29,165
p05,2020-01-31,195
p05,2020-02-01,243
p05,2020-02-03,349
p05,2020-02-04,639
p05,2020-02-05,267
p05,2020-02-06,74
p05,2020-02-07,511
p05,2020-02-13,264
p05,2020-02-15,649
p05,2020-02-17,248
p05,2020-02-18,256
p05,2020-02-19,496
p05,2020-02-20,101
p05,2020-03-07,361
p05,2020-03-08,132
p05,2020-03-12,303
p05,2020-03-13,307
p05,2020-03-16,483
p05,2020-03-17,717
p05,2020-03-18,918
p05,2020-03-21,240
p05,2020-03-22,690
p05,2020-03-23,181
p05,2020-03-24,148
p05,2020-03-26,132
p05,2020-03-28,362
p05,2020-03-29,429
p06,2019-11-02,1025
p06,2019-11-03,142
p06,2019-11-04,859
p06,2019-11-05,920
p06,2019-11-06,383
p06,2019-11-07,232
p06,2019-11-08,278
p06,2019-11-11,476
p06,2019-11-12,500
p06,2019-11-13,554
p06,2019-11-14,678
p06,2019-11-16,676
p06,2019-11-17,520
p06,2019-11-18,717
p06,2019-11-20,613
p06,2019-11-24,1015
p06,2019-11-25,319
p06,2019-11-28,323
p06,2019-11-30,240
p06,2019-12-01,412
p06,2019-12-04,458
p06,2019-12-09,638
p06,2019-12-14,164
p06,2019-12-17,169
p06,2019-12-22,579
p06,2019-12-23,150
p06,2019-12-24,512
p06,2019-12-29,341
p06,2019-12-30,146
p06,2020-01-02,597
p06,2020-01-03,792
p06,2020-01-05,382
p06,2020-01-06,684
p06,2020-01-07,886
p06,2020-01-08,367
p06,2020-01-09,263
p06,2020-01-10,325
p06,2020-01-13,288
p06,2020-01-14,540
p06,2020-01-15,649
p06,2020-01-16,355
p06,2020-01-17,316
p06,2020-01-18,189
p06,2020-01-19,533
p06,2020-01-20,338
p06,2020-01-21,783
p06,2020-01-22,214
p06,2020-01-23,223
p06,2020-01-25,505
p06,2020-01-26,304
p06,2020-01-27,531
p06,2020-01-28,23
p06,2020-01-29,275
p06,2020-01-30,721
p06,2020-01-31,693
p06,2020-02-02,526
p06,2020-02-03,446
p06,2020-02-04,370
p06,2020-02-05,117
p06,2020-02-06,819
p06,2020-02-07,367
p06,2020-02-09,403
p06,2020-02-10,452
p06,2020-02-11,874
p06,2020-02-13,207
p06,2020-02-17,733
p06,2020-02-18,390
p06,2020-02-19,401
p06,2020-02-20,610
p06,2020-02-21,676
p06,2020-02-22,134
p06,2020-02-23,178
p06,2020-02-24,583
p06,2020-02-25,407
p06,2020-02-26,862
p06,2020-02-27,697
p06,2020-02-29,383
p06,2020-03-02,420
p06,2020-03-03,362
p06,2020-03-04,449
p06,2020-03-09,688
p06,2020-03-11,442
p06,2020-03-13,146
p06,2020-03-14,50
p06,2020-03-18,435
p06,2020-03-21,610
p06,2020-03-26,434
p06,2020-03-28,230
p06,2020-03-30,425
p07,2019-11-06,629
p07,2019-11-07,948
p07,2019-11-08,181
p07,2019-11-09,3111
p07,2019-11-11,864
p07,2019-11-13,674
p07,2019-11-14,804
p07,2019-11-15,348
p07,2019-11-16,1189
p07,2019-11-17,1165
p07,2019-11-18,439
p07,2019-11-19,263
p07,2019-11-20,968
p07,2019-11-21,860
p07,2019-11-23,359
p07,2019-11-24,895
p07,2019-11-25,512
p07,2019-11-26,707
p07,2019-11-27,631
p07,2019-11-28,541
p07,2019-11-30,639
p07,2019-12-01,1691
p07,2019-12-02,995
p07,2019-12-03,459
p07,2019-12-04,597
p07,2019-12-05,624
p07,2019-12-06,873
p07,2019-12-07,714
p07,2019-12-08,1694
p07,2019-12-09,1100
p07,2019-12-10,622
p07,2019-12-11,605
p07,2019-12-12,1057
p07,2019-12-13,1196
p07,2019-12-14,657
p07,2019-12-15,888
p07,2019-12-16,695
p07,2019-12-17,686
p07,2019-12-18,818
p07,2019-12-19,618
p07,2019-12-20,453
p07,2019-12-21,496
p07,2019-12-23,904
p07,2019-12-24,757
p07,2019-12-25,792
p07,2019-12-26,1360
p07,2019-12-27,822
p07,2019-12-28,560
p07,2019-12-29,189
p07,2019-12-30,714
p07,2019-12-31,606
p07,2020-01-01,452
p07,2020-01-02,465
p07,2020-01-04,1849
p07,2020-01-08,246
p07,2020-01-09,297
p07,2020-01-11,114
p07,2020-01-13,700
p07,2020-01-14,455
p07,2020-01-15,864
p07,2020-01-16,726
p07,2020-01-17,576
p07,2020-01-18,667
p07,2020-01-20,445
p07,2020-01-21,701
p07,2020-01-22,594
p07,2020-01-23,1044
p07,2020-01-24,474
p07,2020-01-25,790
p07,2020-01-26,616
p07,2020-01-27,653
p07,2020-01-28,718
p07,2020-01-29,565
p07,2020-01-30,550
p07,2020-01-31,847
p07,2020-02-01,901
p07,2020-02-02,467
p07,2020-02-03,252
p07,2020-02-04,758
p07,2020-02-05,319
p07,2020-02-06,119
p07,2020-02-07,788
p07,2020-02-08,765
p07,2020-02-09,1508
p07,2020-02-10,723
p07,2020-02-11,515
p07,2020-02-12,656
p07,2020-02-13,1032
p07,2020-02-14,419
p07,2020-02-15,1291
p07,2020-02-16,627
p07,2020-02-17,570
p07,2020-02-18,662
p07,2020-02-19,941
p07,2020-02-20,674
p07,2020-02-21,588
p07,2020-02-22,529
p07,2020-02-23,773
p07,2020-02-24,593
p07,2020-02-25,560
p07,2020-02-26,661
p07,2020-02-27,492
p07,2020-02-28,769
p07,2020-02-29,596
p07,2020-03-01,497
p07,2020-03-03,123
p07,2020-03-04,765
p07,2020-03-05,158
p07,2020-03-07,145
p07,2020-03-08,1538
p07,2020-03-11,640
p07,2020-03-12,513
p07,2020-03-13,498
p07,2020-03-14,557
p07,2020-03-16,710
p07,2020-03-17,908
p07,2020-03-18,750
p07,2020-03-19,447
p07,2020-03-20,551
p07,2020-03-21,906
p07,2020-03-23,849
p07,2020-03-24,1354
p07,2020-03-26,625
p07,2020-03-30,147
p08,2019-11-11,952
p08,2019-11-12,1848
p08,2019-11-13,254
p08,2019-11-14,1159
p08,2019-11-15,1184
p08,2019-11-16,487
p08,2019-11-17,1340
p08,2019-11-18,780
p08,2019-11-19,844
p08,2019-11-20,1005
p08,2019-11-21,874
p08,2019-11-22,842
p08,2019-11-23,1085
p08,2019-11-24,1103
p08,2019-11-25,938
p08,2019-11-26,1001
p08,2019-11-27,471
p08,2019-11-28,1447
p08,2019-11-29,832
p08,2019-11-30,1418
p08,2019-12-01,2001
p08,2019-12-02,1401
p08,2019-12-03,1189
p08,2019-12-04,1269
p08,2019-12-05,530
p08,2019-12-06,969
p08,2019-12-07,712
p08,2019-12-08,2066
p08,2019-12-09,301
p08,2019-12-10,1032
p08,2019-12-11,1218
p08,2019-12-12,640
p08,2019-12-17,897
p08,2019-12-18,719
p08,2019-12-19,1110
p08,2019-12-20,138
p08,2019-12-21,1818
p08,2019-12-22,765
p08,2019-12-23,1317
p08,2019-12-24,112
p08,2019-12-26,571
p08,2019-12-27,930
p08,2019-12-29,1011
p08,2019-12-30,750
p08,2019-12-31,664
p08,2020-01-01,1561
p08,2020-01-02,854
p08,2020-01-03,152
p08,2020-01-04,1647
p08,2020-01-05,822
p08,2020-01-06,677
p08,2020-01-07,849
p08,2020-01-08,819
p08,2020-01-09,796
p08,2020-01-10,1675
p08,2020-01-11,420
p08,2020-01-18,695
p08,2020-01-19,572
p08,2020-01-21,1563
p08,2020-01-23,610
p08,2020-01-26,734
p08,2020-01-27,177
p08,2020-01-29,858
p08,2020-01-31,776
p08,2020-02-01,938
p08,2020-02-02,994
p08,2020-02-03,1323
p08,2020-02-04,1126
p08,2020-02-05,228
p08,2020-02-06,1246
p08,2020-02-07,1622
p08,2020-02-08,1432
p08,2020-02-09,2376
p08,2020-02-10,830
p08,2020-02-11,824
p08,2020-02-12,1266
p08,2020-02-13,584
p08,2020-02-14,1148
p08,2020-02-15,868
p08,2020-02-16,1306
p08,2020-02-17,1254
p08,2020-02-18,963
p08,2020-02-20,841
p08,2020-02-21,1967
p08,2020-02-23,2432
p08,2020-02-24,809
p08,2020-02-25,1921
p08,2020-02-26,996
p08,2020-02-27,1241
p08,2020-02-28,1571
p08,2020-02-29,762
p08,2020-03-01,1191
p08,2020-03-02,569
p08,2020-03-03,664
p08,2020-03-04,892
p08,2020-03-05,833
p08,2020-03-06,584
p08,2020-03-07,1062
p08,2020-03-08,2699
p08,2020-03-09,372
p08,2020-03-10,968
p08,2020-03-11,179
p08,2020-03-12,1053
p08,2020-03-13,841
p08,2020-03-14,867
p08,2020-03-15,1248
p08,2020-03-16,675
p08,2020-03-17,1127
p08,2020-03-18,797
p08,2020-03-19,1176
p08,2020-03-20,819
p08,2020-03-21,1808
p08,2020-03-22,1147
p08,2020-03-23,340
p08,2020-03-24,1253
p08,2020-03-25,1413
p08,2020-03-26,899
p08,2020-03-27,1486
p08,2020-03-28,1619
p08,2020-03-29,1391
p08,2020-03-30,1669
p08,2020-03-31,1230
p09,2019-11-03,575
p09,2019-11-13,137
p09,2019-11-15,310
p09,2019-11-23,240
p09,2019-11-29,310
p09,2019-12-01,180
p09,2019-12-02,121
p09,2019-12-03,540
