datetime,predictions,Participant_ID
2020-04-01,31.0,p01
2020-04-02,31.0,p01
2020-04-03,31.0,p01
2020-04-04,31.0,p01
2020-04-05,31.0,p01
2020-04-06,31.0,p01
2020-04-07,31.0,p01
2020-04-08,31.0,p01
2020-04-09,31.0,p01
2020-04-10,31.0,p01
2020-04-11,31.0,p01
2020-04-12,29.0,p01
2020-04-13,29.0,p01
2020-04-14,31.0,p01
2020-04-15,31.0,p01
2020-04-16,28.0,p01
2020-04-17,30.0,p01
2020-04-18,35.0,p01
2020-04-19,35.0,p01
2020-04-20,35.0,p01
2020-04-21,35.0,p01
2020-04-22,35.0,p01
2020-04-23,35.0,p01
2020-04-24,35.0,p01
2020-04-25,35.0,p01
2020-04-26,35.0,p01
2020-04-27,35.0,p01
2020-04-28,35.0,p01
2020-04-29,35.0,p01
2020-04-30,35.0,p01
2020-05-01,31.0,p01
2020-05-02,31.0,p01
2020-05-03,31.0,p01
2020-05-04,31.0,p01
2020-05-05,31.0,p01
2020-05-06,31.0,p01
2020-05-07,31.0,p01
2020-05-08,31.0,p01
2020-05-09,31.0,p01
2020-05-10,31.0,p01
2020-05-11,31.0,p01
2020-05-12,29.0,p01
2020-05-13,29.0,p01
2020-05-14,31.0,p01
2020-05-15,31.0,p01
2020-05-16,28.0,p01
2020-05-17,30.0,p01
2020-05-18,35.0,p01
2020-05-19,35.0,p01
2020-05-20,35.0,p01
2020-05-21,35.0,p01
2020-05-22,35.0,p01
2020-05-23,35.0,p01
2020-05-24,35.0,p01
2020-05-25,35.0,p01
2020-05-26,35.0,p01
2020-05-27,35.0,p01
2020-05-28,35.0,p01
2020-05-29,35.0,p01
2020-05-30,35.0,p01
2020-05-31,35.0,p01
2020-06-01,31.0,p01
2020-06-02,31.0,p01
2020-06-03,31.0,p01
2020-06-04,31.0,p01
2020-06-05,31.0,p01
2020-06-06,31.0,p01
2020-06-07,31.0,p01
2020-06-08,31.0,p01
2020-06-09,31.0,p01
2020-06-10,31.0,p01
2020-06-11,31.0,p01
2020-06-12,29.0,p01
2020-06-13,29.0,p01
2020-06-14,31.0,p01
2020-06-15,31.0,p01
2020-06-16,28.0,p01
2020-06-17,30.0,p01
2020-06-18,35.0,p01
2020-06-19,35.0,p01
2020-06-20,35.0,p01
2020-06-21,35.0,p01
2020-06-22,35.0,p01
2020-06-23,35.0,p01
2020-06-24,35.0,p01
2020-06-25,35.0,p01
2020-06-26,35.0,p01
2020-06-27,35.0,p01
2020-06-28,35.0,p01
2020-06-29,35.0,p01
2020-06-30,35.0,p01
2020-07-01,31.0,p01
2020-07-02,31.0,p01
2020-07-03,31.0,p01
2020-07-04,31.0,p01
2020-07-05,31.0,p01
2020-07-06,31.0,p01
2020-07-07,31.0,p01
2020-07-08,31.0,p01
2020-07-09,31.0,p01
2020-07-10,31.0,p01
2020-07-11,31.0,p01
2020-07-12,29.0,p01
2020-07-13,29.0,p01
2020-07-14,31.0,p01
2020-07-15,31.0,p01
2020-07-16,28.0,p01
2020-07-17,30.0,p01
2020-07-18,35.0,p01
2020-07-19,35.0,p01
2020-07-20,35.0,p01
2020-07-21,35.0,p01
2020-07-22,35.0,p01
2020-07-23,35.0,p01
2020-07-24,35.0,p01
2020-07-25,35.0,p01
2020-07-26,35.0,p01
2020-07-27,35.0,p01
2020-07-28,35.0,p01
2020-07-29,35.0,p01
2020-07-30,35.0,p01
2020-07-31,35.0,p01
2020-08-01,31.0,p01
2020-08-02,31.0,p01
2020-08-03,31.0,p01
2020-08-04,31.0,p01
2020-08-05,31.0,p01
2020-08-06,31.0,p01
2020-08-07,31.0,p01
2020-08-08,31.0,p01
2020-08-09,31.0,p01
2020-08-10,31.0,p01
2020-08-11,31.0,p01
2020-08-12,29.0,p01
2020-08-13,29.0,p01
2020-08-14,31.0,p01
2020-08-15,31.0,p01
2020-08-16,28.0,p01
2020-08-17,30.0,p01
2020-08-18,35.0,p01
2020-08-19,35.0,p01
2020-08-20,35.0,p01
2020-08-21,35.0,p01
2020-08-22,35.0,p01
2020-08-23,35.0,p01
2020-08-24,35.0,p01
2020-08-25,35.0,p01
2020-08-26,35.0,p01
2020-08-27,35.0,p01
2020-08-28,35.0,p01
2020-08-29,35.0,p01
2020-08-30,35.0,p01
2020-08-31,35.0,p01
2020-09-01,31.0,p01
2020-09-02,31.0,p01
2020-09-03,31.0,p01
2020-09-04,31.0,p01
2020-09-05,31.0,p01
2020-09-06,31.0,p01
2020-09-07,31.0,p01
2020-09-08,31.0,p01
2020-09-09,31.0,p01
2020-09-10,31.0,p01
2020-09-11,31.0,p01
2020-09-12,29.0,p01
2020-09-13,29.0,p01
2020-09-14,31.0,p01
2020-09-15,31.0,p01
2020-09-16,28.0,p01
2020-09-17,30.0,p01
2020-09-18,35.0,p01
2020-09-19,35.0,p01
2020-09-20,35.0,p01
2020-09-21,35.0,p01
2020-09-22,35.0,p01
2020-09-23,35.0,p01
2020-09-24,35.0,p01
2020-09-25,35.0,p01
2020-09-26,35.0,p01
2020-09-27,35.0,p01
2020-09-28,35.0,p01
2020-09-29,35.0,p01
2020-09-30,35.0,p01
2020-10-01,31.0,p01
2020-10-02,31.0,p01
2020-10-03,31.0,p01
2020-10-04,31.0,p01
2020-10-05,31.0,p01
2020-10-06,31.0,p01
2020-10-07,31.0,p01
2020-10-08,31.0,p01
2020-10-09,31.0,p01
2020-10-10,31.0,p01
2020-10-11,31.0,p01
2020-10-12,29.0,p01
2020-10-13,29.0,p01
2020-10-14,31.0,p01
2020-10-15,31.0,p01
2020-10-16,28.0,p01
2020-10-17,30.0,p01
2020-10-18,35.0,p01
2020-10-19,35.0,p01
2020-10-20,35.0,p01
2020-10-21,35.0,p01
2020-10-22,35.0,p01
2020-10-23,35.0,p01
2020-10-24,35.0,p01
2020-10-25,35.0,p01
2020-10-26,35.0,p01
2020-10-27,35.0,p01
2020-10-28,35.0,p01
2020-10-29,35.0,p01
2020-10-30,35.0,p01
2020-10-31,35.0,p01
2020-11-01,31.0,p01
2020-11-02,31.0,p01
2020-11-03,31.0,p01
2020-11-04,31.0,p01
2020-11-05,31.0,p01
2020-11-06,31.0,p01
2020-11-07,31.0,p01
2020-11-08,31.0,p01
2020-11-09,31.0,p01
2020-11-10,31.0,p01
2020-11-11,31.0,p01
2020-11-12,29.0,p01
2020-11-13,29.0,p01
2020-11-14,31.0,p01
2020-11-15,31.0,p01
2020-11-16,28.0,p01
2020-11-17,30.0,p01
2020-11-18,35.0,p01
2020-11-19,35.0,p01
2020-11-20,35.0,p01
2020-11-21,35.0,p01
2020-11-22,35.0,p01
2020-11-23,35.0,p01
2020-11-24,35.0,p01
2020-11-25,35.0,p01
2020-11-26,35.0,p01
2020-11-27,35.0,p01
2020-11-28,35.0,p01
2020-11-29,35.0,p01
2020-11-30,35.0,p01
2020-12-01,31.0,p01
2020-12-02,31.0,p01
2020-12-03,31.0,p01
2020-12-04,31.0,p01
2020-12-05,31.0,p01
2020-12-06,31.0,p01
2020-12-07,31.0,p01
2020-12-08,31.0,p01
2020-12-09,31.0,p01
2020-12-10,31.0,p01
2020-12-11,31.0,p01
2020-12-12,28.0,p01
2020-12-13,28.0,p01
2020-12-14,31.0,p01
2020-12-15,31.0,p01
2020-12-16,28.0,p01
2020-12-17,28.0,p01
2020-12-18,33.0,p01
2020-12-19,33.0,p01
2020-12-20,33.0,p01
2020-12-21,33.0,p01
2020-12-22,33.0,p01
2020-12-23,33.0,p01
2020-12-24,33.0,p01
2020-12-25,33.0,p01
2020-12-26,33.0,p01
2020-12-27,33.0,p01
2020-12-28,33.0,p01
2020-12-29,33.0,p01
2020-12-30,33.0,p01
2020-12-31,33.0,p01
2021-01-01,31.0,p01
2021-01-02,31.0,p01
2021-01-03,31.0,p01
2021-01-04,31.0,p01
2021-01-05,31.0,p01
2021-01-06,31.0,p01
2021-01-07,31.0,p01
2021-01-08,31.0,p01
2021-01-09,31.0,p01
2021-01-10,31.0,p01
2021-01-11,31.0,p01
2021-01-12,29.0,p01
2021-01-13,29.0,p01
2021-01-14,31.0,p01
2021-01-15,31.0,p01
2021-01-16,28.0,p01
2021-01-17,30.0,p01
2021-01-18,35.0,p01
2021-01-19,35.0,p01
2021-01-20,35.0,p01
2021-01-21,35.0,p01
2021-01-22,35.0,p01
2021-01-23,35.0,p01
2021-01-24,35.0,p01
2021-01-25,35.0,p01
2021-01-26,35.0,p01
2021-01-27,35.0,p01
2021-01-28,35.0,p01
2021-01-29,35.0,p01
2021-01-30,35.0,p01
2021-01-31,35.0,p01
2021-02-01,31.0,p01
2021-02-02,31.0,p01
2021-02-03,31.0,p01
2021-02-04,31.0,p01
2021-02-05,31.0,p01
2021-02-06,31.0,p01
2021-02-07,31.0,p01
2021-02-08,31.0,p01
2021-02-09,31.0,p01
2021-02-10,31.0,p01
2021-02-11,31.0,p01
2021-02-12,29.0,p01
2021-02-13,29.0,p01
2021-02-14,31.0,p01
2021-02-15,31.0,p01
2021-02-16,28.0,p01
2021-02-17,30.0,p01
2021-02-18,35.0,p01
2021-02-19,35.0,p01
2021-02-20,35.0,p01
2021-02-21,35.0,p01
2021-02-22,35.0,p01
2021-02-23,35.0,p01
2021-02-24,35.0,p01
2021-02-25,35.0,p01
2021-02-26,35.0,p01
2021-02-27,35.0,p01
2021-02-28,35.0,p01
2021-03-01,31.0,p01
2021-03-02,31.0,p01
2021-03-03,31.0,p01
2021-03-04,31.0,p01
2021-03-05,31.0,p01
2021-03-06,31.0,p01
2021-03-07,31.0,p01
2021-03-08,31.0,p01
2021-03-09,31.0,p01
2021-03-10,31.0,p01
2021-03-11,31.0,p01
2021-03-12,29.0,p01
2021-03-13,29.0,p01
2021-03-14,31.0,p01
2021-03-15,31.0,p01
2021-03-16,28.0,p01
2021-03-17,30.0,p01
2021-03-18,35.0,p01
2021-03-19,35.0,p01
2021-03-20,35.0,p01
2021-03-21,35.0,p01
2021-03-22,35.0,p01
2021-03-23,35.0,p01
2021-03-24,35.0,p01
2021-03-25,35.0,p01
2021-03-26,35.0,p01
2021-03-27,35.0,p01
2021-03-28,35.0,p01
2021-03-29,35.0,p01
2021-03-30,35.0,p01
2021-03-31,35.0,p01
2021-04-01,31.0,p01
2021-04-02,31.0,p01
2021-04-03,31.0,p01
2021-04-04,31.0,p01
2021-04-05,31.0,p01
2021-04-06,31.0,p01
2021-04-07,31.0,p01
2021-04-08,31.0,p01
2021-04-09,31.0,p01
2021-04-10,31.0,p01
2021-04-11,31.0,p01
2021-04-12,29.0,p01
2021-04-13,29.0,p01
2021-04-14,31.0,p01
2021-04-15,31.0,p01
2021-04-16,28.0,p01
2021-04-17,30.0,p01
2021-04-18,35.0,p01
2021-04-19,35.0,p01
2021-04-20,35.0,p01
2021-04-21,35.0,p01
2021-04-22,35.0,p01
2021-04-23,35.0,p01
2021-04-24,35.0,p01
2021-04-25,35.0,p01
2021-04-26,35.0,p01
2021-04-27,35.0,p01
2021-04-28,35.0,p01
2021-04-29,35.0,p01
2020-04-01,29.0,p02
2020-04-02,29.0,p02
2020-04-03,29.0,p02
2020-04-04,29.0,p02
2020-04-05,29.0,p02
2020-04-06,30.0,p02
2020-04-07,25.0,p02
2020-04-08,24.0,p02
2020-04-09,24.0,p02
2020-04-10,22.0,p02
2020-04-11,27.0,p02
2020-04-12,27.0,p02
2020-04-13,27.0,p02
2020-04-14,27.0,p02
2020-04-15,27.0,p02
2020-04-16,27.0,p02
2020-04-17,27.0,p02
2020-04-18,27.0,p02
2020-04-19,26.0,p02
2020-04-20,26.0,p02
2020-04-21,25.0,p02
2020-04-22,25.0,p02
2020-04-23,21.0,p02
2020-04-24,21.0,p02
2020-04-25,21.0,p02
2020-04-26,21.0,p02
2020-04-27,21.0,p02
2020-04-28,21.0,p02
2020-04-29,21.0,p02
2020-04-30,21.0,p02
2020-05-01,29.0,p02
2020-05-02,29.0,p02
2020-05-03,29.0,p02
2020-05-04,29.0,p02
2020-05-05,29.0,p02
2020-05-06,30.0,p02
2020-05-07,25.0,p02
2020-05-08,24.0,p02
2020-05-09,24.0,p02
2020-05-10,22.0,p02
2020-05-11,27.0,p02
2020-05-12,27.0,p02
2020-05-13,27.0,p02
2020-05-14,27.0,p02
2020-05-15,27.0,p02
2020-05-16,27.0,p02
2020-05-17,27.0,p02
2020-05-18,27.0,p02
2020-05-19,26.0,p02
2020-05-20,26.0,p02
2020-05-21,25.0,p02
2020-05-22,25.0,p02
2020-05-23,21.0,p02
2020-05-24,21.0,p02
2020-05-25,21.0,p02
2020-05-26,21.0,p02
2020-05-27,21.0,p02
2020-05-28,21.0,p02
2020-05-29,21.0,p02
2020-05-30,21.0,p02
2020-05-31,21.0,p02
2020-06-01,29.0,p02
2020-06-02,29.0,p02
2020-06-03,29.0,p02
2020-06-04,29.0,p02
2020-06-05,29.0,p02
2020-06-06,30.0,p02
2020-06-07,25.0,p02
2020-06-08,24.0,p02
2020-06-09,24.0,p02
2020-06-10,22.0,p02
2020-06-11,27.0,p02
2020-06-12,27.0,p02
2020-06-13,27.0,p02
2020-06-14,27.0,p02
2020-06-15,27.0,p02
2020-06-16,27.0,p02
2020-06-17,27.0,p02
2020-06-18,27.0,p02
2020-06-19,26.0,p02
2020-06-20,26.0,p02
2020-06-21,25.0,p02
2020-06-22,25.0,p02
2020-06-23,21.0,p02
2020-06-24,21.0,p02
2020-06-25,21.0,p02
2020-06-26,21.0,p02
2020-06-27,21.0,p02
2020-06-28,21.0,p02
2020-06-29,21.0,p02
2020-06-30,21.0,p02
2020-07-01,22.0,p02
2020-07-02,22.0,p02
2020-07-03,22.0,p02
2020-07-04,22.0,p02
2020-07-05,22.0,p02
2020-07-06,23.0,p02
2020-07-07,19.0,p02
2020-07-08,18.0,p02
2020-07-09,18.0,p02
2020-07-10,13.0,p02
2020-07-11,18.0,p02
2020-07-12,18.0,p02
2020-07-13,18.0,p02
2020-07-14,18.0,p02
2020-07-15,18.0,p02
2020-07-16,17.0,p02
2020-07-17,18.0,p02
2020-07-18,18.0,p02
2020-07-19,19.0,p02
2020-07-20,19.0,p02
2020-07-21,18.0,p02
2020-07-22,18.0,p02
2020-07-23,14.0,p02
2020-07-24,14.0,p02
2020-07-25,14.0,p02
2020-07-26,14.0,p02
2020-07-27,14.0,p02
2020-07-28,14.0,p02
2020-07-29,14.0,p02
2020-07-30,14.0,p02
2020-07-31,14.0,p02
2020-08-01,22.0,p02
2020-08-02,22.0,p02
2020-08-03,22.0,p02
2020-08-04,22.0,p02
2020-08-05,22.0,p02
2020-08-06,23.0,p02
2020-08-07,19.0,p02
2020-08-08,18.0,p02
